City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Saskylakh,RU,2021-01-16 00:49:50,71.9167,114.0833,-19.75,86,100,15.17
186,Obo,CF,2021-01-16 00:49:50,5.3998,26.4869,66.38,37,100,1.25
187,Coquimbo,CL,2021-01-16 00:45:29,-29.9533,-71.3436,60.8,82,0,4.61
188,Havelock,US,2021-01-16 00:48:41,34.8791,-76.9013,54.0,71,1,4.61
189,Gamba,GA,2021-01-16 00:49:50,-2.65,10.0,77.04,85,100,6.98
190,Arrifes,PT,2021-01-16 00:49:50,37.7667,-25.7,61.0,94,75,13.8
191,Viedma,AR,2021-01-16 00:49:50,-40.8135,-62.9967,64.99,74,0,12.01
192,Broken Hill,AU,2021-01-16 00:49:50,-31.95,141.4333,62.6,39,69,17.27
193,Khani,GE,2021-01-16 00:49:50,41.9563,42.9566,41.0,100,90,6.91
194,Khumalag,RU,2021-01-16 00:49:50,43.2403,44.4752,32.0,93,100,4.47
195,Jahazpur,IN,2021-01-16 00:49:50,25.6167,75.2833,51.58,44,2,4.21
196,Cherskiy,RU,2021-01-16 00:49:50,68.75,161.3,-24.99,86,91,2.91
197,Vila Franca Do Campo,PT,2021-01-16 00:49:50,37.7167,-25.4333,61.0,94,75,13.8
198,Touros,BR,2021-01-16 00:49:50,-5.1989,-35.4608,78.8,78,40,6.91
199,Andover,GB,2021-01-16 00:49:50,51.2083,-1.4825,39.2,81,90,12.66
200,Henties Bay,NA,2021-01-16 00:49:50,-22.116,14.2845,71.01,81,68,4.09
201,Colac,AU,2021-01-16 00:49:51,-38.3333,143.5833,54.0,24,100,8.99
202,Kindersley,CA,2021-01-16 00:47:51,51.4668,-109.1682,21.2,79,75,8.05
203,Nyurba,RU,2021-01-16 00:49:51,63.2842,118.3319,-34.73,82,100,5.59
204,Galle,LK,2021-01-16 00:49:51,6.0367,80.217,76.95,81,98,2.82
