City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Sokol,RU,59.4617,40.1206,-5.24,92,51,4.14,broken clouds
170,Posadas,AR,-27.3671,-55.8961,82.4,65,90,9.22,overcast clouds
171,Safaga,EG,26.7292,33.9365,68.0,21,0,9.22,clear sky
172,Mahebourg,MU,-20.4081,57.7,80.6,83,40,11.5,scattered clouds
173,Nikaia,GR,37.9667,23.65,37.99,48,0,5.19,clear sky
174,Medvezhyegorsk,RU,62.9167,34.4667,16.47,96,98,5.53,overcast clouds
175,Guiratinga,BR,-16.3494,-53.7583,74.48,88,88,7.23,moderate rain
176,Yellowknife,CA,62.456,-114.3525,-2.0,78,90,4.61,light snow
177,Esperance,AU,-33.8667,121.9,57.2,82,0,10.36,clear sky
178,Pandan,PH,14.0453,124.1694,78.82,83,88,12.77,overcast clouds
179,Buala,SB,-8.145,159.5921,80.76,82,71,7.94,light rain
180,Esil,KZ,51.9556,66.4042,10.22,94,66,11.23,broken clouds
181,Port Alfred,ZA,-33.5906,26.891,69.01,86,8,9.19,clear sky
182,Palmer,US,42.1584,-72.3287,41.0,52,75,12.66,broken clouds
183,Ihosy,MG,-22.4,46.1167,77.02,72,80,7.96,moderate rain
184,Hervey Bay,AU,-25.2986,152.8535,75.99,83,72,3.0,broken clouds
185,Bria,CF,6.5423,21.9863,81.52,21,3,2.82,clear sky
186,Itarema,BR,-2.9248,-39.9167,86.45,60,26,16.78,scattered clouds
187,Freeport,US,40.6576,-73.5832,44.01,45,20,18.41,few clouds
188,Henties Bay,NA,-22.116,14.2845,71.01,78,14,10.33,few clouds
189,Saint-Pierre,RE,-21.3393,55.4781,82.4,78,20,5.75,few clouds
190,Vao,NC,-22.6667,167.4833,76.6,85,100,12.01,overcast clouds
191,Cidreira,BR,-30.1811,-50.2056,80.38,84,98,7.47,moderate rain
192,Berdigestyakh,RU,62.0989,126.6992,-47.67,76,99,3.91,overcast clouds
193,Ketchikan,US,55.3422,-131.6461,44.6,100,90,4.61,overcast clouds
194,Padrauna,IN,26.9025,83.9819,57.27,66,0,3.38,clear sky
195,Kabinda,CD,-6.1333,24.4833,70.16,89,97,1.39,light rain
